"Title","User","Domain","Bot","Comment","Server URL","Full URL"
"File:Junio 2025, Villahermosa del Río 11.jpg","BotMultichillT","commons.wikimedia.org","true","/* wbeditentity-update:0| */ Adding structured data: source, author & copyright","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Junio 2025, Villahermosa del Río 11.jpg"
"File:The Daily Transcript February 20, 1889 - DPLA - d610297c2e3e14f2be48adb47715fab1 (page 4).jpg","SchlurcherBot","commons.wikimedia.org","true","/* wbeditentity-update:0| */ automatically adding [[Commons:Structured data|structured data]] based on file information","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:The Daily Transcript February 20, 1889 - DPLA - d610297c2e3e14f2be48adb47715fab1 (page 4).jpg"
"Q14620330","SR5","www.wikidata.org","false","/* wbsetdescription-remove:1|en */ taxon, [[:toollabs:quickstatements/#/batch/247955|batch #247955]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q14620330"
"File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg","Gzen92Bot","commons.wikimedia.org","true","Gallica btv1b52000897v","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg"
"Q23117013","VIGNERON","www.wikidata.org","false","/* wbeditentity-update-languages-short:0||nl */ QuickStatements 3.0 [[:toollabs:qs-dev/batch/4378|batch #4378]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q23117013"
"File:Am Rößlebad 14 Augsburg.JPG","SchlurcherBot","commons.wikimedia.org","true","/* wbeditentity-update:0| */ automatically adding [[Commons:Structured data|structured data]] based on file information","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Am Rößlebad 14 Augsburg.JPG"
"上网电价补贴政策","Willy1018-bot","zh.wikipedia.org","true","[[Wikipedia:机器人/作业请求#請求批量替換所有lang-xx模板為langx模板|BOTR]]：批量替換所有lang-xx模板為langx模板","https://zh.wikipedia.org","https://zh.wikipedia.org/wiki/上网电价补贴政策"
"Utilisateur:Futsuli/Brouillon2","Futsuli","fr.wikipedia.org","false","/* Dans la culture */","https://fr.wikipedia.org","https://fr.wikipedia.org/wiki/Utilisateur:Futsuli/Brouillon2"
"Q69771262","KrBot","www.wikidata.org","true","/* wbsetclaimvalue:1| */ [[Property:P1476]]: Pharmacokinetics of betabactyl in the field of gynecology","https://www.wikidata.org","https://www.wikidata.org/wiki/Q69771262"
"File:Mull of Galloway Trail - geograph.org.uk - 3432244.jpg","Malcolma","commons.wikimedia.org","false","added [[Category:Mull of Galloway Trail]]","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Mull of Galloway Trail - geograph.org.uk - 3432244.jpg"
"Q5823818","Ideophagous","www.wikidata.org","false","/* wbsetdescription-add:1|ary */ دوّار ف إيران, #quickstatements; #temporary_batch_1750571443924","https://www.wikidata.org","https://www.wikidata.org/wiki/Q5823818"
"File:Kathivanoor Veeran Theyyam Mambalam, Kannur 1.jpg","Atheenasiji","commons.wikimedia.org","false","/* wbsetclaim-update:2||1 */ [[d:Special:EntityPage/P180]]: [[d:Special:EntityPage/Q16137384]], ([[:toolforge:editgroups-commons/b/CB/34c0bf52513|details]])","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Kathivanoor Veeran Theyyam Mambalam, Kannur 1.jpg"
"Q23117017","VIGNERON","www.wikidata.org","false","/* wbeditentity-update-languages-short:0||nl */ QuickStatements 3.0 [[:toollabs:qs-dev/batch/4378|batch #4378]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q23117017"
"File:Giant Scabious, by the Braidburn, Edinburgh - geograph.org.uk - 7810404.jpg","GeographBot","commons.wikimedia.org","true","/* wbeditentity-update-languages-and-other-short:0||en */ Adding structured data to this newly uploaded geograph.org.uk image","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Giant Scabious, by the Braidburn, Edinburgh - geograph.org.uk - 7810404.jpg"
"File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg","DPLA bot","commons.wikimedia.org","true","Uploading DPLA ID ""[[dpla:25e3d6b883f748bbc246085089e3a2ea|25e3d6b883f748bbc246085089e3a2ea]]"".","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg"
"File:NDL1031322 峡間 part1.pdf","MidleadingBot","commons.wikimedia.org","true","/* wbeditentity-update:0| */","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:NDL1031322 峡間 part1.pdf"
"File:هادی معتمدین امامی کارگردان وتصویر بردار.png","Yann","commons.wikimedia.org","false","Media missing permission as of 14 June 2025","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:هادی معتمدین امامی کارگردان وتصویر بردار.png"
"Talk:Brooke Norton-Cuffy","Gråbergs Gråa Sång","en.wikipedia.org","false","/* top */ cc","https://en.wikipedia.org","https://en.wikipedia.org/wiki/Talk:Brooke Norton-Cuffy"
"분류:지린성의 재난","Choboty","ko.wikipedia.org","true","[[:2018년 쑹위안 지진]] 문서에 해당 분류를 추가함","https://ko.wikipedia.org","https://ko.wikipedia.org/wiki/분류:지린성의 재난"
"Q23117022","VIGNERON","www.wikidata.org","false","/* wbeditentity-update-languages-short:0||nl */ QuickStatements 3.0 [[:toollabs:qs-dev/batch/4378|batch #4378]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q23117022"
"七魚宴 (大熊餐廳)","Willy1018-bot","zh.wikipedia.org","true","[[Wikipedia:机器人/作业请求#請求批量替換所有lang-xx模板為langx模板|BOTR]]：批量替換所有lang-xx模板為langx模板","https://zh.wikipedia.org","https://zh.wikipedia.org/wiki/七魚宴 (大熊餐廳)"
"분류:지린성의 역사","Choboty","ko.wikipedia.org","true","[[:2018년 쑹위안 지진]]이(가) 분류에서 제거되었습니다","https://ko.wikipedia.org","https://ko.wikipedia.org/wiki/분류:지린성의 역사"
"Q29693652","Kbseah","www.wikidata.org","false","/* wbsetlabel-add:1|mul */ Amerotyphlops minuisquamus, [[:toollabs:quickstatements/#/batch/247940|batch #247940]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q29693652"
"Category:Files from Gallica","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Files from Gallica"
"File:OJ L 353 of 2016 - SL Slovenian.pdf","SchlurcherBot","commons.wikimedia.org","true","/* wbeditentity-update:0| */ automatically adding [[Commons:Structured data|structured data]] based on file information: meta","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:OJ L 353 of 2016 - SL Slovenian.pdf"
"Category:Artworks without Wikidata item","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Artworks without Wikidata item"
"File:Junio 2025, Villahermosa del Río 12.jpg","BotMultichillT","commons.wikimedia.org","true","/* wbeditentity-update:0| */ Adding structured data: source, author & copyright","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Junio 2025, Villahermosa del Río 12.jpg"
"File:CH-KBAR - Ringkämpfer am Eid-e-Ramadan Fest - KB-017529a.tif","Uschoen","commons.wikimedia.org","false","/* wbsetclaim-create:2||1 */ [[d:Special:EntityPage/P6305]]: 2023090410003653, Maeder all photos VRT ticket number ([[:toollabs:editgroups-commons/b/OR/91967532275|details]])","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:CH-KBAR - Ringkämpfer am Eid-e-Ramadan Fest - KB-017529a.tif"
"Category:PD France","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD France"
"一流シェフのファミリーレストラン","ならちゃん","ja.wikipedia.org","false","[[Category:2022年のテレビドラマ]]を除去; [[Category:2022年のWebドラマ]]を追加 ([[WP:HotCat|HotCat]]使用)","https://ja.wikipedia.org","https://ja.wikipedia.org/wiki/一流シェフのファミリーレストラン"
"Category:PD-old missing SDC copyright status","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD-old missing SDC copyright status"
"Q128903950","Términus","www.wikidata.org","false","/* wbsetclaim-update:2||1|3 */ [[Property:P1196]]: [[Q4676786]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q128903950"
"Q23117033","VIGNERON","www.wikidata.org","false","/* wbeditentity-update-languages-short:0||nl */ QuickStatements 3.0 [[:toollabs:qs-dev/batch/4378|batch #4378]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q23117033"
"Category:CC-PD-Mark","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:CC-PD-Mark"
"głodny","KamiruPL","en.wiktionary.org","false","","https://en.wiktionary.org","https://en.wiktionary.org/wiki/głodny"
"Talk:Bobby Brink/GA1","Lee Vilenski","en.wikipedia.org","false","/* General */ add","https://en.wikipedia.org","https://en.wikipedia.org/wiki/Talk:Bobby Brink/GA1"
"Category:PD-old-100-expired","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD-old-100-expired"
"Category:PD US expired","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD US expired"
"Category:PD-US missing SDC copyright status","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD-US missing SDC copyright status"
"Q135008897","Gras-Ober","www.wikidata.org","false","/* wbsetclaim-create:2||1 */ [[Property:P17]]: [[Q739]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q135008897"
"Category:Sheet music from Gallica (Bibliothèque nationale de France) uploaded by Gzen92Bot","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Sheet music from Gallica (Bibliothèque nationale de France) uploaded by Gzen92Bot"
"File:Reel 18-56, 1956 - DPLA - d541063ea96d4dc4349167b961731595 (page 793).jpg","Emijrpbot","commons.wikimedia.org","true","/* wbeditentity-update:0| */ BOT - Adding [[Commons:Structured data|structured data]] based on file information: media type","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Reel 18-56, 1956 - DPLA - d541063ea96d4dc4349167b961731595 (page 793).jpg"
"Category:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v","Gzen92Bot","commons.wikimedia.org","true","[[:File:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v (86 of 92).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Vasco de Gama - ode-symphonie - paroles de Louis Delâtre ; musique de Georges Bizet ; partition chant et piano transcrite par Léon Roques - btv1b52000897v"
"Aagathan","157.51.215.81","en.wikipedia.org","false","/* Plot */","https://en.wikipedia.org","https://en.wikipedia.org/wiki/Aagathan"
"Eileen Abad","Bromogi","en.wikipedia.org","false","","https://en.wikipedia.org","https://en.wikipedia.org/wiki/Eileen Abad"
"Q69771269","KrBot","www.wikidata.org","true","/* wbsetlabel-set:1|nl */ Fractions of human neoplasms and mice-LDH virus as markers of human cancer","https://www.wikidata.org","https://www.wikidata.org/wiki/Q69771269"
"Q69771269","KrBot","www.wikidata.org","true","/* wbsetlabel-set:1|en */ Fractions of human neoplasms and mice-LDH virus as markers of human cancer","https://www.wikidata.org","https://www.wikidata.org/wiki/Q69771269"
"Category:December 2024 in Landkreis Leipzig","Kleeblatt187","commons.wikimedia.org","false","[[Special:MyLanguage/COM:AES|←]]Created page with '{{LandkreisLeipzigmonthyear|2024|December}}'","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:December 2024 in Landkreis Leipzig"
"Q23117038","VIGNERON","www.wikidata.org","false","/* wbeditentity-update-languages-short:0||nl */ QuickStatements 3.0 [[:toollabs:qs-dev/batch/4378|batch #4378]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q23117038"
"Eileen Abad","Bromogi","en.wikipedia.org","false","","https://en.wikipedia.org","https://en.wikipedia.org/wiki/Eileen Abad"
"Category:使用Lang-xx模板的页面","Willy1018-bot","zh.wikipedia.org","true","[[:一条叫旺达的鱼]]已从分类中移除，[[Special:WhatLinksHere/一条叫旺达的鱼|此页面包含在其他页面之内]]","https://zh.wikipedia.org","https://zh.wikipedia.org/wiki/Category:使用Lang-xx模板的页面"
"Category:Information field template with formatting","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Information field template with formatting"
"Q110983769","Looniverse","www.wikidata.org","false","/* wbcreateclaim-create:1| */ [[Property:P1618]]: 29, #quickstatements; #temporary_batch_1750579824290","https://www.wikidata.org","https://www.wikidata.org/wiki/Q110983769"
"Category:Media contributed by the Digital Public Library of America","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Media contributed by the Digital Public Library of America"
"File:Fonds du Théâtre des Variétés. II. Partitions. Partitions associées à des représentations datées. 1871-1880. 1873. La vie parisienne - opéra bouffe en 3 actes - livret de Henri Meilhac et... - btv1b52515991z (0559 of 1010).jpg","Gzen92Bot","commons.wikimedia.org","true","Gallica btv1b52515991z","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Fonds du Théâtre des Variétés. II. Partitions. Partitions associées à des représentations datées. 1871-1880. 1873. La vie parisienne - opéra bouffe en 3 actes - livret de Henri Meilhac et... - btv1b52515991z (0559 of 1010).jpg"
"Category:Media contributed by the National Archives and Records Administration","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Media contributed by the National Archives and Records Administration"
"水島努","2400:4052:61A1:B600:ACFA:7914:C691:92CC","ja.wikipedia.org","false","[[Category:長野県出身の人物]] を [[Category:松本市出身の人物]] に貼り替え","https://ja.wikipedia.org","https://ja.wikipedia.org/wiki/水島努"
"Category:Media contributed by National Archives at College Park - Textual Reference","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Media contributed by National Archives at College Park - Textual Reference"
"Eileen Abad","Bromogi","en.wikipedia.org","false","reference added","https://en.wikipedia.org","https://en.wikipedia.org/wiki/Eileen Abad"
"Category:Digital Public Library of America files missing required SDC statements","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Digital Public Library of America files missing required SDC statements"
"Category:Digital Public Library of America files missing creator","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Digital Public Library of America files missing creator"
"Habitzheim","Wivoelke","de.wikipedia.org","false","/* Ortsgeschichte */ link aus webarchiv","https://de.wikipedia.org","https://de.wikipedia.org/wiki/Habitzheim"
"File:Kathivanoor Veeran Theyyam Mambalam, Kannur 2.jpg","Atheenasiji","commons.wikimedia.org","false","/* wbsetclaim-update:2||1 */ [[d:Special:EntityPage/P180]]: [[d:Special:EntityPage/Q16137384]], ([[:toolforge:editgroups-commons/b/CB/34c0bf52513|details]])","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Kathivanoor Veeran Theyyam Mambalam, Kannur 2.jpg"
"Category:PD US","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD US"
"Category:Mull of Galloway Trail","Malcolma","commons.wikimedia.org","false","[[:File:Mull of Galloway Trail - geograph.org.uk - 3432244.jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Mull of Galloway Trail"
"Category:PD-US missing SDC copyright status","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD-US missing SDC copyright status"
"Gebruiker:TheGoodEndedHappily/Kladblok","TheGoodEndedHappily","nl.wikipedia.org","false","","https://nl.wikipedia.org","https://nl.wikipedia.org/wiki/Gebruiker:TheGoodEndedHappily/Kladblok"
"Category:Public domain files using NoC-US rights statement","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Public domain files using NoC-US rights statement"
"Category:Artworks without Wikidata item","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 56).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Artworks without Wikidata item"
"Q69771269","KrBot","www.wikidata.org","true","/* wbsetlabel-set:1|sq */ Fractions of human neoplasms and mice-LDH virus as markers of human cancer","https://www.wikidata.org","https://www.wikidata.org/wiki/Q69771269"
"Азбука","EmausBot","sh.wikipedia.org","true","Bot: Popravak dvostrukih preusmjeravanja → [[Srpska ćirilica]]","https://sh.wikipedia.org","https://sh.wikipedia.org/wiki/Азбука"
"File:NDL960059 米麦蔬菜新式増収法 part6.pdf","MidleadingBot","commons.wikimedia.org","true","/* wbeditentity-update:0| */","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:NDL960059 米麦蔬菜新式増収法 part6.pdf"
"クリームシチュー","Iepps4563","ja.wikipedia.org","false","","https://ja.wikipedia.org","https://ja.wikipedia.org/wiki/クリームシチュー"
"Q5823823","Ideophagous","www.wikidata.org","false","/* wbsetdescription-add:1|ary */ دوّار ف إيران, #quickstatements; #temporary_batch_1750571443924","https://www.wikidata.org","https://www.wikidata.org/wiki/Q5823823"
"Discussion:Armand Thiery","O-R","fr.wikipedia.org","false","Suppression technique","https://fr.wikipedia.org","https://fr.wikipedia.org/wiki/Discussion:Armand Thiery"
"Category:2024 in Landkreis Leipzig","Kleeblatt187","commons.wikimedia.org","false","[[:Category:December 2024 in Landkreis Leipzig]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:2024 in Landkreis Leipzig"
